date,game,market,model_prob,bet_side,odds,result,note
2026-06-10,BOS@TB,ML,0.706,TB,-156,W,honorable mention
2026-06-10,BOS@TB,F5,0.796,TB,,W,F5 4-0 home thru 5
2026-06-10,NYY@CLE,ML,0.635,NYY,-102est,W,dog price estimated
2026-06-10,NYY@CLE,F5,0.565,NYY,,P,3-3 push
2026-06-10,WSH@SF,ML,0.582,WSH,+100est,L,lost 11-10 late
2026-06-10,WSH@SF,F5,0.619,WSH,,W,2-0 thru 5
2026-06-10,CIN@SD,ML,0.523,CIN,+142est,L,PASSED - conflict w bad-pitcher rule
2026-06-10,CIN@SD,F5,0.524,SD,,P,2-2 push
2026-06-10,SEA@BAL,ML,0.661,BAL,,W,no odds pulled
2026-06-10,SEA@BAL,F5,0.669,BAL,,P,0-0 push
2026-06-10,LAD@PIT,ML,0.721,LAD,-207,L,below 5% filter no bet; pen blew it
2026-06-10,LAD@PIT,F5,0.817,LAD,,W,2-1 thru 5
2026-06-10,ARI@MIA,ML,0.551,ARI,-118,L,PASSED - Gusto unstable; MIA won 8-0
2026-06-10,ARI@MIA,F5,0.629,ARI,,L,
2026-06-10,PHI@TOR,ML,0.704,PHI,-136,W,TOP PICK +12.8% edge
2026-06-10,PHI@TOR,F5,0.771,PHI,,W,6-0 thru 5
2026-06-10,STL@NYM,ML,0.626,NYM,,L,EXCLUDED - bullpen game
2026-06-10,STL@NYM,F5,0.725,NYM,,L,EXCLUDED
2026-06-10,TEX@KC,ML,0.530,KC,,L,no odds pulled
2026-06-10,TEX@KC,F5,0.548,KC,,P,2-2 push
2026-06-10,CHC@COL,ML,0.652,COL,+144,W,pick #2 +24.3% edge; F5 side lost
2026-06-10,CHC@COL,F5,0.624,COL,,L,total 5 runs vs model 15.7 - both SPs fine
2026-06-10,MIL@ATH,ML,0.712,MIL,-110,L,pick #3; led 3-0 thru 5 pen lost it
2026-06-10,MIL@ATH,F5,0.678,MIL,,W,3-0 thru 5
2026-06-10,HOU@LAA,ML,0.520,LAA,,W,no odds pulled
2026-06-10,HOU@LAA,F5,0.525,HOU,,L,
2026-06-11,TEX@KC,ML,0.553,TEX,+105est,W,passed - below conviction bar
2026-06-11,TEX@KC,F5,0.576,TEX,,W,TEX 3-0 thru 5
2026-06-11,CHC@COL,ML,0.864,COL,+134,L,BET 1u LOST; CHC won 9-3; model prob overextended as flagged
2026-06-11,CHC@COL,F5,0.908,COL,,L,CHC 6-2 thru 5; Cabrera fine - last3 ERA noisy
2026-06-11,LAD@PIT,ML,0.751,LAD,-175,W,
2026-06-11,LAD@PIT,F5,0.842,LAD,,W,BET 1u CASHED; 5-4 thru 5 - close
2026-06-11,SEA@BAL,ML,0.694,BAL,-102,W,rated MEDIUM not bet
2026-06-11,SEA@BAL,F5,0.705,BAL,,W,7-5 thru 5
2026-06-12,PHI@MIL,F5,0.880,MIL,-259,W,STRONG Painter fade; straight cashed
2026-06-12,PHI@MIL,ML,0.864,MIL,-259,W,full-game also W (informational)
2026-06-12,ARI@CIN,F5,0.599,ARI,-105est,L,Lodolo FADE; ARI bats cold — leg killed parlay
2026-06-12,MIA@PIT,F5,0.745,PIT,,P,no odds pulled; F5 tied after 5
2026-06-17,MIA@PHI,F5,0.683,MIA,+104,W,Painter FADE; market ~pickem (AGREED); MIA 12-4 won easy
2026-06-17,CLE@MIL,F5,0.649,CLE,+100,L,Sproat FADE but market had MIL -118 FAV (DISAGREED) - should have passed; MIL 9-4
2026-06-18,SF@ATL,F5,,ATL,,W,ATL fade-of-Houser type; F5 ML cashed
2026-06-20,BAL@LAD,F5,,LAD,-290,L,LAD F5 at -290 (very juiced); LOSS - heavy price/low value
2026-06-20,PIT@COL,F5,,PIT,-305,L,Freeland fade at Coors; F5 -305 juiced; LOSS - market priced it, no value
2026-06-21,CIN@NYY,F5,,CIN,-165,W,CIN F5 cashed
2026-06-21,NYM@PHI,F5,,PHI,-230,W,PHI F5 cashed
2026-06-22,AZ@STL,F5,0.708,STL,-145,W,Kelly 5.81 fade (69 IP stable); market AGREED; STL F5 cashed — top play
2026-06-22,NYY@DET,F5,0.690,NYY,-130,L,Cole elite-arm lean (not a fade); DET won F5 — elite-arm variance as flagged
2026-06-22,CHC@NYM,F5,0.689,CHC,-112,P,Senga 9.00 trap (24 IP); flagged caution; game POSTPONED — no action/void
2026-06-24,SEA@PIT,F5,0.59,PIT,-120,W,Ashcraft lean; edge +7.6%; F5 PIT 5-1 thru 5 (all 5 in 4th) WIN
2026-06-24,HOU@TOR,F5,0.65,TOR,-156,P,F5 1-1 tie thru 5 (each 1 in 1st) PUSH; placed -160; parlay leg voided/reduced to BOS single
