recorded_at,eid,season,week,kickoff,away,home,home_partid,away_partid,model_margin,market_line,home_score,away_score,actual_margin,model_error,market_error
2026-09-11T14:59:44+00:00,4798105,2026,,2026-09-11T00:35:00+00:00,SF,LA,1550,1547,4.1,3.5,7.0,27.0,-20.0,24.1,23.5
2026-09-11T14:59:44+00:00,4798175,2026,,2026-09-14T00:20:00+00:00,DAL,NYG,1535,1538,-0.7,-3.0,,,,,
2026-09-11T14:59:44+00:00,4798219,2026,,2026-09-15T00:15:00+00:00,DEN,KC,1531,1534,2.67,2.5,,,,,
2026-09-11T14:59:44+00:00,4798259,2026,,2026-09-10T00:20:00+00:00,NE,SEA,1548,1525,5.68,3.0,13.0,10.0,3.0,2.6799999999999997,0.0
2026-09-11T14:59:44+00:00,4798260,2026,,2026-09-13T17:00:00+00:00,CHI,CAR,1545,1540,-1.23,-3.0,,,,,
2026-09-11T14:59:44+00:00,4798261,2026,,2026-09-13T17:00:00+00:00,BAL,IND,1527,1521,1.37,-3.5,,,,,
2026-09-11T14:59:44+00:00,4798262,2026,,2026-09-13T17:00:00+00:00,ATL,PIT,1519,1546,2.39,3.5,,,,,
2026-09-11T14:59:44+00:00,4798263,2026,,2026-09-13T17:00:00+00:00,TB,CIN,1522,1544,0.44,4.0,,,,,
2026-09-11T14:59:44+00:00,4798264,2026,,2026-09-13T17:00:00+00:00,NYJ,TEN,1528,1523,1.98,1.0,,,,,
2026-09-11T14:59:44+00:00,4798265,2026,,2026-09-13T17:00:00+00:00,NO,DET,1539,1543,8.2,7.0,,,,,
2026-09-11T14:59:44+00:00,4798266,2026,,2026-09-13T17:00:00+00:00,BUF,HOU,1530,1526,0.54,-1.0,,,,,
2026-09-11T14:59:44+00:00,4798267,2026,,2026-09-13T20:25:00+00:00,ARI,LAC,75380,1549,6.51,9.5,,,,,
2026-09-11T14:59:44+00:00,4798268,2026,,2026-09-13T20:25:00+00:00,GB,MIN,1541,1542,2.24,1.0,,,,,
2026-09-11T14:59:44+00:00,4798269,2026,,2026-09-13T20:25:00+00:00,MIA,LV,1533,1524,-0.24,3.5,,,,,
2026-09-11T14:59:44+00:00,4798270,2026,,2026-09-13T20:25:00+00:00,WAS,PHI,1536,1537,5.61,4.5,,,,,
2026-09-11T14:59:44+00:00,4798276,2026,,2026-09-13T17:00:00+00:00,CLE,JAX,1529,1520,8.66,9.0,,,,,
